City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,soio,-6.1349,12.3689,300.11,90,100,4.18,AO,1714761002
317,coahuayana de hidalgo,18.7,-103.6583,306.02,40,3,4.05,MX,1714761002
318,polyarnyy,69.1989,33.4478,270.51,84,99,0.95,RU,1714761002
319,nkhotakota,-12.9274,34.2961,296.67,63,10,5.55,MW,1714761003
320,kindu,-2.95,25.95,295.52,94,100,0.97,CD,1714761003
321,zayed city,24.3768,54.589,302.59,69,0,3.6,AE,1714761003
322,west island,-12.1568,96.8225,301.14,89,40,5.14,CC,1714761003
323,kralendijk,12.15,-68.2667,304.14,74,75,6.17,BQ,1714761003
324,ratlam,23.3167,75.0667,304.49,10,87,1.8,IN,1714761004
325,al fuwayliq,26.4432,43.2534,299.1,17,0,8.35,SA,1714761004
326,vernon,50.2581,-119.2691,291.35,54,6,1.03,CA,1714760749
327,saint-louis,16.3333,-15.0,314.95,12,0,3.88,SN,1714761004
328,kone,-21.0595,164.8658,291.27,82,0,2.13,NC,1714761004
329,fada n'gourma,12.0622,0.3578,311.59,22,31,3.28,BF,1714761004
330,kawalu,-7.3817,108.2082,296.42,99,100,0.82,ID,1714761004
331,la ronge,55.1001,-105.2842,278.29,60,100,1.03,CA,1714761005
332,caleta de carquin,-11.0925,-77.6267,295.21,79,44,4.16,PE,1714761005
333,shevchenko,48.5,35.0,286.32,46,0,5.68,UA,1714761005
334,zakynthos,37.7914,20.8953,289.77,63,20,2.57,GR,1714761005
335,quellon,-43.1167,-73.6167,283.56,83,100,3.74,CL,1714761005
336,luderitz,-26.6481,15.1594,290.03,85,0,3.91,NA,1714761005
337,kerema,-7.9631,145.7785,298.4,83,89,1.39,PG,1714761005
338,umba,66.6871,34.3429,273.21,99,100,1.66,RU,1714761006
339,dunedin,-45.8742,170.5036,281.93,82,77,4.02,NZ,1714760722
340,maych'ew,12.7875,39.5422,289.37,90,15,1.99,ET,1714761006
341,gebeit,21.0667,36.3167,298.89,22,0,6.09,SD,1714761006
342,kiruna,67.8557,20.2251,278.66,70,0,2.06,SE,1714761006
343,hami,42.8,93.45,291.86,12,61,3.2,CN,1714761006
